time	V(v_comp)	V(v_f)	V(v_ref)
0.000000000000000e+00	9.384840e-01	1.649997e+00	1.650000e+00
9.999999960041972e-12	9.384840e-01	1.649997e+00	1.650000e+00
1.999999992008394e-11	9.384840e-01	1.649997e+00	1.650000e+00
3.999999984016789e-11	9.384840e-01	1.649997e+00	1.650000e+00
7.999999968033578e-11	9.384840e-01	1.649997e+00	1.650001e+00
1.599999993606716e-10	9.384840e-01	1.649997e+00	1.650002e+00
3.199999987213431e-10	9.384840e-01	1.649997e+00	1.650003e+00
6.399999974426862e-10	9.384840e-01	1.649997e+00	1.650007e+00
1.279999994885372e-09	9.384840e-01	1.649997e+00	1.650013e+00
2.559999989770745e-09	9.384840e-01	1.649997e+00	1.650027e+00
5.119999979541490e-09	9.384840e-01	1.649997e+00	1.650053e+00
1.023999995908298e-08	9.384840e-01	1.649997e+00	1.650106e+00
2.047999991816596e-08	9.384840e-01	1.649997e+00	1.650212e+00
4.095999983633192e-08	9.384840e-01	1.649997e+00	1.650425e+00
8.191999967266383e-08	9.384840e-01	1.649997e+00	1.650849e+00
1.638399993453277e-07	9.384840e-01	1.649997e+00	1.651699e+00
3.276799986906553e-07	9.384840e-01	1.649997e+00	1.653397e+00
6.553599973813107e-07	9.384840e-01	1.649997e+00	1.656794e+00
1.310719994762621e-06	9.384841e-01	1.649997e+00	1.663588e+00
2.310719994762621e-06	9.384842e-01	1.649997e+00	1.673955e+00
3.310719994762621e-06	9.384843e-01	1.649997e+00	1.684321e+00
4.310719994762621e-06	9.384844e-01	1.649997e+00	1.694685e+00
5.310719994762620e-06	9.384844e-01	1.649997e+00	1.705047e+00
6.310719994762620e-06	9.384845e-01	1.649997e+00	1.715408e+00
7.310719994762620e-06	9.384846e-01	1.649997e+00	1.725765e+00
8.310719994762620e-06	9.384847e-01	1.649997e+00	1.736120e+00
9.310719994762621e-06	9.384848e-01	1.649997e+00	1.746472e+00
1.000500000000000e-05	9.384848e-01	1.649997e+00	1.753656e+00
1.010500000000000e-05	9.384848e-01	1.649997e+00	1.754691e+00
1.030500000000000e-05	9.384848e-01	1.649997e+00	1.756760e+00
