time	V(n004)
0.000000000000000e+00	1.650000e+00
9.999999960041972e-12	1.650000e+00
1.999999992008394e-11	1.650000e+00
3.999999984016789e-11	1.650000e+00
7.999999968033578e-11	1.650001e+00
1.599999993606716e-10	1.650002e+00
3.199999987213431e-10	1.650003e+00
6.399999974426862e-10	1.650007e+00
1.279999994885372e-09	1.650013e+00
2.559999989770745e-09	1.650027e+00
5.119999979541490e-09	1.650053e+00
1.023999995908298e-08	1.650106e+00
2.047999991816596e-08	1.650212e+00
4.095999983633192e-08	1.650425e+00
8.191999967266383e-08	1.650849e+00
1.638399993453277e-07	1.651699e+00
3.276799986906553e-07	1.653397e+00
6.553599973813107e-07	1.656794e+00
1.310719994762621e-06	1.663588e+00
2.310719994762621e-06	1.673955e+00
3.310719994762621e-06	1.684321e+00
4.310719994762621e-06	1.694685e+00
5.310719994762620e-06	1.705047e+00
6.310719994762620e-06	1.715408e+00
7.310719994762620e-06	1.725765e+00
8.310719994762620e-06	1.736120e+00
9.310719994762621e-06	1.746472e+00
9.909008000000000e-06	1.752663e+00
1.000900800000000e-05	1.753698e+00
1.020900800000000e-05	1.755767e+00
1.060900800000000e-05	1.759905e+00
1.140900800000000e-05	1.768179e+00
1.240900800000000e-05	1.778517e+00
1.340900800000000e-05	1.788850e+00
1.440900800000000e-05	1.799178e+00
1.540900800000000e-05	1.809500e+00
1.640900800000000e-05	1.819815e+00
1.740900800000000e-05	1.830124e+00
1.840900800000000e-05	1.840426e+00
1.940900800000001e-05	1.850720e+00
1.981802000000000e-05	1.854928e+00
1.991802000000000e-05	1.855957e+00
2.011802000000000e-05	1.858014e+00
2.051802000000000e-05	1.862127e+00
2.131802000000000e-05	1.870349e+00
2.231802000000000e-05	1.880619e+00
2.331802000000000e-05	1.890880e+00
2.431802000000000e-05	1.901131e+00
2.531802000000000e-05	1.911373e+00
2.631802000000000e-05	1.921604e+00
2.731802000000000e-05	1.931824e+00
2.831802000000000e-05	1.942034e+00
2.931802000000000e-05	1.952231e+00
2.972702000000000e-05	1.956399e+00
2.982702000000000e-05	1.957417e+00
3.002702000000000e-05	1.959454e+00
3.042702000000000e-05	1.963527e+00
3.122702000000000e-05	1.971665e+00
3.222702000000000e-05	1.981827e+00
3.322701999999999e-05	1.991976e+00
3.422701999999999e-05	2.002111e+00
3.522701999999999e-05	2.012233e+00
3.622701999999999e-05	2.022340e+00
3.722701999999998e-05	2.032432e+00
3.822701999999998e-05	2.042510e+00
3.922701999999998e-05	2.052572e+00
3.963603000000000e-05	2.056682e+00
3.973603000000000e-05	2.057687e+00
3.993603000000000e-05	2.059696e+00
4.033603000000000e-05	2.063712e+00
4.113603000000000e-05	2.071735e+00
4.213603000000000e-05	2.081750e+00
4.313603000000000e-05	2.091747e+00
4.413602999999999e-05	2.101727e+00
4.513602999999999e-05	2.111689e+00
4.613602999999999e-05	2.121633e+00
4.713602999999999e-05	2.131559e+00
4.813602999999998e-05	2.141465e+00
4.913602999999998e-05	2.151352e+00
4.954504000000000e-05	2.155390e+00
4.964504000000000e-05	2.156377e+00
4.984504000000000e-05	2.158350e+00
5.024504000000000e-05	2.162293e+00
5.104504000000000e-05	2.170171e+00
5.204504000000000e-05	2.179999e+00
5.304503999999999e-05	2.189806e+00
5.404503999999999e-05	2.199593e+00
5.504503999999999e-05	2.209357e+00
5.604503999999999e-05	2.219099e+00
5.704503999999998e-05	2.228819e+00
5.804503999999998e-05	2.238516e+00
5.904503999999998e-05	2.248189e+00
5.945405000000000e-05	2.252139e+00
5.955405000000000e-05	2.253104e+00
5.975405000000000e-05	2.255034e+00
6.015405000000000e-05	2.258890e+00
6.095405000000000e-05	2.266591e+00
6.195405000000000e-05	2.276195e+00
6.295405000000000e-05	2.285774e+00
6.395404999999999e-05	2.295328e+00
6.495404999999999e-05	2.304857e+00
6.595404999999999e-05	2.314360e+00
6.695404999999999e-05	2.323836e+00
6.795404999999998e-05	2.333286e+00
6.895404999999998e-05	2.342709e+00
6.936306000000000e-05	2.346555e+00
6.946306000000000e-05	2.347495e+00
6.966306000000000e-05	2.349374e+00
7.006306000000000e-05	2.353127e+00
7.086306000000001e-05	2.360621e+00
7.186306000000000e-05	2.369964e+00
7.286306000000000e-05	2.379278e+00
7.386306000000000e-05	2.388563e+00
7.486306000000000e-05	2.397819e+00
7.586305999999999e-05	2.407046e+00
7.686305999999999e-05	2.416242e+00
7.786305999999999e-05	2.425409e+00
7.886305999999998e-05	2.434544e+00
7.927207000000000e-05	2.438272e+00
7.937207000000000e-05	2.439183e+00
7.957207000000001e-05	2.441003e+00
7.997207000000000e-05	2.444640e+00
8.077207000000001e-05	2.451898e+00
8.177207000000001e-05	2.460943e+00
8.277207000000000e-05	2.469956e+00
8.377207000000000e-05	2.478936e+00
8.477207000000000e-05	2.487884e+00
8.577207000000000e-05	2.496798e+00
8.677206999999999e-05	2.505679e+00
8.777206999999999e-05	2.514526e+00
8.877206999999999e-05	2.523340e+00
8.918107000000000e-05	2.526934e+00
8.928107000000001e-05	2.527812e+00
8.948107000000001e-05	2.529567e+00
8.988107000000001e-05	2.533073e+00
9.068107000000001e-05	2.540068e+00
9.168107000000001e-05	2.548780e+00
9.268107000000001e-05	2.557456e+00
9.368107000000000e-05	2.566097e+00
9.468107000000000e-05	2.574701e+00
9.568107000000000e-05	2.583269e+00
9.668107000000000e-05	2.591800e+00
9.768106999999999e-05	2.600294e+00
9.868106999999999e-05	2.608750e+00
9.909007999999999e-05	2.612198e+00
9.919008000000000e-05	2.613040e+00
9.939008000000000e-05	2.614723e+00
9.979008000000000e-05	2.618084e+00
1.005900800000000e-04	2.624788e+00
1.015900800000000e-04	2.633133e+00
1.025900800000000e-04	2.641440e+00
1.035900800000000e-04	2.649707e+00
1.045900800000000e-04	2.657935e+00
1.055900800000000e-04	2.666123e+00
1.065900800000000e-04	2.674272e+00
1.075900800000000e-04	2.682379e+00
1.085900800000000e-04	2.690446e+00
1.089991000000000e-04	2.693733e+00
1.090991000000000e-04	2.694536e+00
1.092991000000000e-04	2.696141e+00
1.096991000000000e-04	2.699344e+00
1.104991000000000e-04	2.705731e+00
1.114991000000000e-04	2.713678e+00
1.124991000000000e-04	2.721582e+00
1.134991000000000e-04	2.729444e+00
1.144991000000000e-04	2.737264e+00
1.154991000000000e-04	2.745040e+00
1.164991000000000e-04	2.752774e+00
1.174991000000000e-04	2.760464e+00
1.184991000000000e-04	2.768110e+00
1.189081000000000e-04	2.771224e+00
1.190081000000000e-04	2.771985e+00
1.192081000000000e-04	2.773504e+00
1.196081000000000e-04	2.776538e+00
1.204081000000000e-04	2.782583e+00
1.214081000000000e-04	2.790100e+00
1.224081000000000e-04	2.797572e+00
1.234081000000000e-04	2.804998e+00
1.244081000000000e-04	2.812379e+00
1.254081000000000e-04	2.819714e+00
1.264081000000000e-04	2.827003e+00
1.274081000000000e-04	2.834245e+00
1.284081000000000e-04	2.841441e+00
1.288171000000000e-04	2.844370e+00
1.289171000000000e-04	2.845085e+00
1.291171000000000e-04	2.846514e+00
1.295171000000000e-04	2.849366e+00
1.303171000000000e-04	2.855046e+00
1.313171000000000e-04	2.862104e+00
1.323171000000000e-04	2.869114e+00
1.333171000000000e-04	2.876076e+00
1.343171000000000e-04	2.882990e+00
1.353171000000000e-04	2.889855e+00
1.363171000000000e-04	2.896671e+00
1.373171000000000e-04	2.903438e+00
1.383171000000000e-04	2.910155e+00
1.387261000000000e-04	2.912888e+00
1.388261000000000e-04	2.913555e+00
1.390261000000000e-04	2.914887e+00
1.394261000000000e-04	2.917546e+00
1.402261000000000e-04	2.922840e+00
1.412261000000000e-04	2.929411e+00
1.422261000000000e-04	2.935933e+00
1.432261000000000e-04	2.942403e+00
1.442261000000000e-04	2.948823e+00
1.452261000000000e-04	2.955191e+00
1.462261000000000e-04	2.961508e+00
1.472261000000000e-04	2.967773e+00
1.482261000000000e-04	2.973986e+00
1.486351000000000e-04	2.976512e+00
1.487351000000000e-04	2.977128e+00
1.489351000000000e-04	2.978359e+00
1.493351000000000e-04	2.980815e+00
1.501351000000000e-04	2.985701e+00
1.511351000000000e-04	2.991761e+00
1.521351000000000e-04	2.997768e+00
1.531351000000000e-04	3.003722e+00
1.541351000000000e-04	3.009623e+00
1.551351000000000e-04	3.015470e+00
1.561351000000000e-04	3.021263e+00
1.571351000000000e-04	3.027002e+00
1.581351000000000e-04	3.032686e+00
1.585441000000000e-04	3.034995e+00
1.586441000000000e-04	3.035558e+00
1.588441000000000e-04	3.036683e+00
1.592441000000000e-04	3.038926e+00
1.600441000000000e-04	3.043386e+00
1.610441000000000e-04	3.048911e+00
1.620441000000000e-04	3.054381e+00
1.630441000000000e-04	3.059795e+00
1.640441000000000e-04	3.065154e+00
1.650441000000000e-04	3.070457e+00
1.660441000000000e-04	3.075704e+00
1.670441000000000e-04	3.080894e+00
1.680441000000000e-04	3.086028e+00
1.684531000000000e-04	3.088112e+00
1.685531000000000e-04	3.088620e+00
1.687531000000000e-04	3.089634e+00
1.691531000000000e-04	3.091656e+00
1.699531000000000e-04	3.095672e+00
1.709531000000000e-04	3.100640e+00
1.719531000000000e-04	3.105551e+00
1.729531000000000e-04	3.110405e+00
1.739531000000000e-04	3.115202e+00
1.749531000000000e-04	3.119940e+00
1.759531000000000e-04	3.124620e+00
1.769531000000000e-04	3.129242e+00
1.779531000000000e-04	3.133806e+00
1.783621000000000e-04	3.135656e+00
1.784621000000000e-04	3.136106e+00
1.786621000000000e-04	3.137006e+00
1.790621000000000e-04	3.138799e+00
1.798621000000000e-04	3.142355e+00
1.808621000000000e-04	3.146748e+00
1.818621000000000e-04	3.151082e+00
1.828621000000000e-04	3.155356e+00
1.838621000000000e-04	3.159571e+00
1.848621000000000e-04	3.163727e+00
1.858621000000000e-04	3.167822e+00
1.868621000000000e-04	3.171858e+00
1.878621000000000e-04	3.175834e+00
1.882712000000000e-04	3.177443e+00
1.883712000000000e-04	3.177835e+00
1.885712000000000e-04	3.178617e+00
1.889712000000000e-04	3.180173e+00
1.897712000000000e-04	3.183256e+00
1.907712000000000e-04	3.187056e+00
1.917712000000000e-04	3.190796e+00
1.927712000000000e-04	3.194474e+00
1.937712000000000e-04	3.198092e+00
1.947712000000000e-04	3.201648e+00
1.957712000000000e-04	3.205143e+00
1.967712000000000e-04	3.208577e+00
1.977712000000000e-04	3.211949e+00
1.981802000000000e-04	3.213311e+00
1.982802000000000e-04	3.213642e+00
1.984802000000000e-04	3.214303e+00
1.988802000000000e-04	3.215617e+00
1.996802000000000e-04	3.218215e+00
2.006802000000000e-04	3.221408e+00
2.016802000000000e-04	3.224539e+00
2.026802000000000e-04	3.227607e+00
2.036802000000000e-04	3.230613e+00
2.046802000000000e-04	3.233557e+00
2.056802000000000e-04	3.236438e+00
2.066802000000000e-04	3.239256e+00
2.076802000000000e-04	3.242012e+00
2.080892000000000e-04	3.243121e+00
2.081892000000000e-04	3.243390e+00
2.083892000000000e-04	3.243927e+00
2.087892000000000e-04	3.244994e+00
2.095892000000000e-04	3.247098e+00
2.105892000000000e-04	3.249670e+00
2.115892000000000e-04	3.252180e+00
2.125892000000000e-04	3.254626e+00
2.135892000000000e-04	3.257009e+00
2.145892000000000e-04	3.259328e+00
2.155892000000000e-04	3.261584e+00
2.165892000000000e-04	3.263776e+00
2.175892000000000e-04	3.265905e+00
2.179982000000000e-04	3.266757e+00
2.180982000000000e-04	3.266964e+00
2.182982000000000e-04	3.267375e+00
2.186982000000000e-04	3.268191e+00
2.194982000000000e-04	3.269791e+00
2.204982000000000e-04	3.271734e+00
2.214982000000000e-04	3.273612e+00
2.224982000000000e-04	3.275427e+00
2.234982000000000e-04	3.277178e+00
2.244982000000000e-04	3.278864e+00
2.254982000000000e-04	3.280486e+00
2.264982000000000e-04	3.282043e+00
2.274982000000000e-04	3.283536e+00
2.279072000000000e-04	3.284128e+00
2.280072000000000e-04	3.284272e+00
2.282072000000000e-04	3.284556e+00
2.286072000000000e-04	3.285117e+00
2.294072000000000e-04	3.286208e+00
2.304072000000000e-04	3.287513e+00
2.314072000000000e-04	3.288754e+00
2.324072000000000e-04	3.289930e+00
2.334072000000000e-04	3.291041e+00
2.344072000000000e-04	3.292088e+00
2.354072000000000e-04	3.293069e+00
2.364072000000000e-04	3.293986e+00
2.374072000000000e-04	3.294838e+00
2.378162000000000e-04	3.295167e+00
2.379162000000000e-04	3.295247e+00
2.381162000000000e-04	3.295403e+00
2.385162000000000e-04	3.295707e+00
2.393162000000000e-04	3.296284e+00
2.403162000000000e-04	3.296947e+00
2.413162000000000e-04	3.297544e+00
2.423162000000000e-04	3.298077e+00
2.433162000000000e-04	3.298545e+00
2.443162000000000e-04	3.298948e+00
2.453162000000000e-04	3.299286e+00
2.463162000000001e-04	3.299558e+00
2.473162000000001e-04	3.299765e+00
2.477252000000000e-04	3.299831e+00
2.478252000000000e-04	3.299846e+00
2.480252000000000e-04	3.299873e+00
2.484252000000000e-04	3.299919e+00
2.492252000000000e-04	3.299980e+00
2.502252000000000e-04	3.299998e+00
2.512252000000001e-04	3.299951e+00
2.522252000000001e-04	3.299839e+00
2.532252000000001e-04	3.299661e+00
2.542252000000001e-04	3.299419e+00
2.552252000000002e-04	3.299111e+00
2.562252000000002e-04	3.298738e+00
2.572252000000002e-04	3.298300e+00
2.576342000000000e-04	3.298102e+00
2.577342000000000e-04	3.298052e+00
2.579342000000000e-04	3.297950e+00
2.583342000000000e-04	3.297738e+00
2.591342000000000e-04	3.297283e+00
2.601342000000000e-04	3.296656e+00
2.611342000000001e-04	3.295964e+00
2.621342000000001e-04	3.295207e+00
2.631342000000001e-04	3.294385e+00
2.641342000000001e-04	3.293498e+00
2.651342000000002e-04	3.292546e+00
2.661342000000002e-04	3.291529e+00
2.671342000000002e-04	3.290447e+00
2.675432000000000e-04	3.289986e+00
2.676432000000000e-04	3.289872e+00
2.678432000000000e-04	3.289641e+00
2.682432000000000e-04	3.289172e+00
2.690432000000000e-04	3.288203e+00
2.700432000000000e-04	3.286933e+00
2.710432000000001e-04	3.285599e+00
2.720432000000001e-04	3.284199e+00
2.730432000000001e-04	3.282736e+00
2.740432000000001e-04	3.281208e+00
2.750432000000002e-04	3.279616e+00
2.760432000000002e-04	3.277959e+00
2.770432000000002e-04	3.276238e+00
2.774522000000000e-04	3.275516e+00
2.775522000000000e-04	3.275337e+00
2.777522000000000e-04	3.274979e+00
